id,ar,start,end,peak_flux,label_m1p
11394_2012_01_07_12_00_00_0,11394,2012-01-07 00:00:00.000000000,2012-01-07 12:00:00.000000000,1e-09,0
11395_2012_01_10_01_47_01_0,11395,2012-01-09 13:47:01.000000000,2012-01-10 01:47:01.000000000,1.8823529411764705e-06,0
11395_2012_01_10_01_47_01_1,11395,2012-01-10 13:47:00.000000000,2012-01-11 01:47:00.000000000,1.8823529411764705e-06,0
11395_2012_01_10_11_12_01_0,11395,2012-01-09 23:12:01.000000000,2012-01-10 11:12:01.000000000,1.8823529411764705e-06,0
11395_2012_01_10_11_12_01_1,11395,2012-01-10 23:12:00.000000000,2012-01-11 11:12:00.000000000,1.8823529411764705e-06,0
11395_2012_01_09_12_00_00_0,11395,2012-01-09 00:00:00.000000000,2012-01-09 12:00:00.000000000,3.058823529411765e-06,0
11395_2012_01_13_00_58_00_0,11395,2012-01-12 12:58:00.000000000,2012-01-13 00:58:00.000000000,1e-09,0
11395_2012_01_13_00_58_00_1,11395,2012-01-14 13:16:27.218408943,2012-01-15 01:16:27.218408943,1e-09,0
11395_2012_01_13_00_58_00_2,11395,2012-01-15 06:34:32.297154484,2012-01-15 18:34:32.297154484,1e-09,0
11395_2012_01_13_00_58_00_3,11395,2012-01-16 11:59:59.999999999,2012-01-16 23:59:59.999999999,1e-09,0
11395_2012_01_11_00_58_01_0,11395,2012-01-10 12:58:01.000000000,2012-01-11 00:58:01.000000000,1.7647058823529412e-06,0
11396_2012_01_13_12_00_00_0,11396,2012-01-13 00:00:00.000000000,2012-01-13 12:00:00.000000000,2.4705882352941173e-06,0
11396_2012_01_17_23_20_01_0,11396,2012-01-17 11:20:01.000000000,2012-01-17 23:20:01.000000000,6e-06,0
11396_2012_01_15_03_35_00_0,11396,2012-01-14 15:35:00.000000000,2012-01-15 03:35:00.000000000,1e-09,0
11396_2012_01_15_03_35_00_1,11396,2012-01-15 05:53:08.256706584,2012-01-15 17:53:08.256706584,1e-09,0
11396_2012_01_15_03_35_00_2,11396,2012-01-15 20:55:48.835674181,2012-01-16 08:55:48.835674181,1e-09,0
11396_2012_01_15_03_35_00_3,11396,2012-01-16 11:20:00.999999998,2012-01-16 23:20:00.999999998,1e-09,0
11397_2012_01_14_12_00_00_0,11397,2012-01-14 00:00:00.000000000,2012-01-14 12:00:00.000000000,1e-09,0
11397_2012_01_14_12_00_00_1,11397,2012-01-14 13:29:08.435283243,2012-01-15 01:29:08.435283243,1e-09,0
11397_2012_01_14_12_00_00_2,11397,2012-01-15 11:59:59.999999999,2012-01-15 23:59:59.999999999,1e-09,0
11398_2012_01_14_12_00_00_0,11398,2012-01-14 00:00:00.000000000,2012-01-14 12:00:00.000000000,1e-09,0
11398_2012_01_14_12_00_00_1,11398,2012-01-15 04:49:50.143896368,2012-01-15 16:49:50.143896368,1e-09,0
11398_2012_01_14_12_00_00_2,11398,2012-01-17 11:59:59.999999999,2012-01-17 23:59:59.999999999,1e-09,0
11399_2012_01_19_12_30_00_0,11399,2012-01-19 00:30:00.000000000,2012-01-19 12:30:00.000000000,1e-09,0
11399_2012_01_17_12_30_01_0,11399,2012-01-17 00:30:01.000000000,2012-01-17 12:30:01.000000000,1.1294117647058824e-06,0
11399_2012_01_17_12_30_01_1,11399,2012-01-18 00:30:00.000000000,2012-01-18 12:30:00.000000000,1.1294117647058824e-06,0
11399_2012_01_15_12_00_00_0,11399,2012-01-15 00:00:00.000000000,2012-01-15 12:00:00.000000000,1e-09,0
11400_2012_01_15_12_00_00_0,11400,2012-01-15 00:00:00.000000000,2012-01-15 12:00:00.000000000,1e-09,0
11401_2012_01_22_03_03_43_0,11401,2012-01-21 15:03:43.000000000,2012-01-22 03:03:43.000000000,4.352941176470588e-06,0
11401_2012_01_17_05_06_59_0,11401,2012-01-16 17:06:59.000000000,2012-01-17 05:06:59.000000000,2.588235294117648e-06,0
11401_2012_01_17_19_12_01_0,11401,2012-01-17 07:12:01.000000000,2012-01-17 19:12:01.000000000,2e-05,1
11401_2012_01_19_23_33_01_0,11401,2012-01-19 11:33:01.000000000,2012-01-19 23:33:01.000000000,1.6470588235294118e-06,0
11401_2012_01_19_23_33_01_1,11401,2012-01-20 11:33:00.000000000,2012-01-20 23:33:00.000000000,1.6470588235294118e-06,0
11401_2012_01_17_10_30_01_0,11401,2012-01-16 22:30:01.000000000,2012-01-17 10:30:01.000000000,2.8235294117647062e-06,0
11401_2012_01_19_15_01_01_0,11401,2012-01-19 03:01:01.000000000,2012-01-19 15:01:01.000000000,1.0705882352941175e-06,0
11401_2012_01_21_02_57_01_0,11401,2012-01-20 14:57:01.000000000,2012-01-21 02:57:01.000000000,8.352941176470585e-06,0
11401_2012_01_21_02_57_01_1,11401,2012-01-21 14:57:00.000000000,2012-01-22 02:57:00.000000000,8.352941176470585e-06,0
11401_2012_01_23_17_08_01_0,11401,2012-01-23 05:08:01.000000000,2012-01-23 17:08:01.000000000,1.5294117647058826e-06,0
11401_2012_01_23_17_08_01_1,11401,2012-01-24 05:08:00.000000000,2012-01-24 17:08:00.000000000,1.5294117647058826e-06,0
11401_2012_01_16_04_53_01_0,11401,2012-01-15 16:53:01.000000000,2012-01-16 04:53:01.000000000,1.1764705882352942e-05,1
11401_2012_01_16_04_53_01_1,11401,2012-01-16 16:53:00.000000000,2012-01-17 04:53:00.000000000,1.1764705882352942e-05,1
11401_2012_01_22_13_33_43_0,11401,2012-01-22 01:33:43.000000000,2012-01-22 13:33:43.000000000,2.3529411764705885e-06,0
11401_2012_01_15_12_00_00_0,11401,2012-01-15 00:00:00.000000000,2012-01-15 12:00:00.000000000,6.470588235294118e-06,0
11401_2012_01_15_12_00_00_1,11401,2012-01-15 16:46:10.000000000,2012-01-16 04:46:10.000000000,6.470588235294118e-06,0
11401_2012_01_22_20_57_31_0,11401,2012-01-22 08:57:31.000000000,2012-01-22 20:57:31.000000000,1.6470588235294118e-06,0
11401_2012_01_22_20_57_31_1,11401,2012-01-23 08:11:00.000000000,2012-01-23 20:11:00.000000000,1.6470588235294118e-06,0
11403_2012_01_19_01_21_00_0,11403,2012-01-18 13:21:00.000000000,2012-01-19 01:21:00.000000000,1e-09,0
11403_2012_01_19_01_21_00_1,11403,2012-01-19 12:00:00.000000000,2012-01-20 00:00:00.000000000,1e-09,0
11403_2012_01_17_01_21_01_0,11403,2012-01-16 13:21:01.000000000,2012-01-17 01:21:01.000000000,1e-06,0
11405_2012_01_17_12_00_00_0,11405,2012-01-17 00:00:00.000000000,2012-01-17 12:00:00.000000000,1e-09,0
11405_2012_01_17_12_00_00_1,11405,2012-01-17 22:02:38.266041051,2012-01-18 10:02:38.266041051,1e-09,0
11405_2012_01_17_12_00_00_2,11405,2012-01-19 07:51:49.381928069,2012-01-19 19:51:49.381928069,1e-09,0
11405_2012_01_17_12_00_00_3,11405,2012-01-19 20:04:34.839783531,2012-01-20 08:04:34.839783531,1e-09,0
11405_2012_01_17_12_00_00_4,11405,2012-01-22 07:56:11.666662125,2012-01-22 19:56:11.666662125,1e-09,0
11405_2012_01_17_12_00_00_5,11405,2012-01-23 09:28:21.801241692,2012-01-23 21:28:21.801241692,1e-09,0
11405_2012_01_17_12_00_00_6,11405,2012-01-24 22:00:59.999999996,2012-01-25 10:00:59.999999996,1e-09,0
11404_2012_01_17_12_00_00_0,11404,2012-01-17 00:00:00.000000000,2012-01-17 12:00:00.000000000,1e-09,0
11406_2012_01_18_12_00_00_0,11406,2012-01-18 00:00:00.000000000,2012-01-18 12:00:00.000000000,1e-09,0
11406_2012_01_18_12_00_00_1,11406,2012-01-19 12:00:00.000000000,2012-01-20 00:00:00.000000000,1e-09,0
11407_2012_01_19_12_00_00_0,11407,2012-01-19 00:00:00.000000000,2012-01-19 12:00:00.000000000,1e-09,0
11407_2012_01_19_12_00_00_1,11407,2012-01-19 13:43:08.558316016,2012-01-20 01:43:08.558316016,1e-09,0
11407_2012_01_19_12_00_00_2,11407,2012-01-20 11:34:13.216691048,2012-01-20 23:34:13.216691048,1e-09,0
11407_2012_01_19_12_00_00_3,11407,2012-01-21 03:08:10.884004929,2012-01-21 15:08:10.884004929,1e-09,0
11407_2012_01_19_12_00_00_4,11407,2012-01-21 22:21:55.544663428,2012-01-22 10:21:55.544663428,1e-09,0
11407_2012_01_19_12_00_00_6,11407,2012-01-23 15:40:38.727150035,2012-01-24 03:40:38.727150035,1e-09,0
11407_2012_01_19_12_00_00_8,11407,2012-01-24 22:00:59.999999996,2012-01-25 10:00:59.999999996,1e-09,0
11409_2012_01_22_12_00_00_0,11409,2012-01-22 00:00:00.000000000,2012-01-22 12:00:00.000000000,1e-09,0
11408_2012_01_30_14_15_01_0,11408,2012-01-30 02:15:01.000000000,2012-01-30 14:15:01.000000000,1.1647058823529413e-06,0
11408_2012_02_01_04_46_09_0,11408,2012-01-31 16:46:09.000000000,2012-02-01 04:46:09.000000000,7.529411764705883e-07,0
11408_2012_01_30_06_24_01_0,11408,2012-01-29 18:24:01.000000000,2012-01-30 06:24:01.000000000,7.882352941176471e-07,0
11408_2012_01_22_12_00_00_0,11408,2012-01-22 00:00:00.000000000,2012-01-22 12:00:00.000000000,1e-09,0
11408_2012_01_22_12_00_00_1,11408,2012-01-22 17:23:54.164386792,2012-01-23 05:23:54.164386792,1e-09,0
11408_2012_01_22_12_00_00_2,11408,2012-01-23 06:18:58.874167284,2012-01-23 18:18:58.874167284,1e-09,0
11408_2012_01_22_12_00_00_3,11408,2012-01-24 02:58:45.284590124,2012-01-24 14:58:45.284590124,1e-09,0
11408_2012_01_22_12_00_00_4,11408,2012-01-24 22:00:59.999999998,2012-01-25 10:00:59.999999998,1e-09,0
11408_2012_02_01_09_07_01_0,11408,2012-01-31 21:07:01.000000000,2012-02-01 09:07:01.000000000,9.176470588235296e-07,0
11408_2012_01_31_04_41_01_0,11408,2012-01-30 16:41:01.000000000,2012-01-31 04:41:01.000000000,1.1764705882352942e-06,0
11408_2012_01_31_04_41_01_1,11408,2012-01-31 16:41:00.000000000,2012-02-01 04:41:00.000000000,1.1764705882352942e-06,0
11410_2012_02_05_17_27_01_0,11410,2012-02-05 05:27:01.000000000,2012-02-05 17:27:01.000000000,1.4117647058823531e-06,0
11410_2012_02_05_20_00_01_0,11410,2012-02-05 08:00:01.000000000,2012-02-05 20:00:01.000000000,1.1764705882352942e-05,1
11410_2012_02_05_20_00_01_1,11410,2012-02-06 08:00:00.000000000,2012-02-06 20:00:00.000000000,1.1764705882352942e-05,1
11410_2012_02_04_12_47_01_0,11410,2012-02-04 00:47:01.000000000,2012-02-04 12:47:01.000000000,2.823529411764706e-07,0
11410_2012_02_04_12_47_01_1,11410,2012-02-04 19:23:26.000000000,2012-02-05 07:23:26.000000000,2.823529411764706e-07,0
11410_2012_02_02_04_47_01_0,11410,2012-02-01 16:47:01.000000000,2012-02-02 04:47:01.000000000,8.705882352941178e-07,0
11410_2012_02_05_07_33_01_0,11410,2012-02-04 19:33:01.000000000,2012-02-05 07:33:01.000000000,1.0941176470588237e-06,0
11410_2012_02_06_22_19_01_0,11410,2012-02-06 10:19:01.000000000,2012-02-06 22:19:01.000000000,8.588235294117647e-06,0
11410_2012_01_27_15_34_01_0,11410,2012-01-27 03:34:01.000000000,2012-01-27 15:34:01.000000000,1.1764705882352942e-06,0
11410_2012_01_29_03_23_01_0,11410,2012-01-28 15:23:01.000000000,2012-01-29 03:23:01.000000000,6e-07,0
11410_2012_02_04_07_29_01_0,11410,2012-02-03 19:29:01.000000000,2012-02-04 07:29:01.000000000,3.647058823529412e-07,0
11410_2012_01_29_04_40_01_0,11410,2012-01-28 16:40:01.000000000,2012-01-29 04:40:01.000000000,1.5294117647058826e-06,0
11410_2012_01_29_04_40_01_1,11410,2012-01-29 16:40:00.000000000,2012-01-30 04:40:00.000000000,1.5294117647058826e-06,0
11410_2012_02_08_22_19_00_0,11410,2012-02-08 10:19:00.000000000,2012-02-08 22:19:00.000000000,1e-09,0
11410_2012_02_06_17_34_01_0,11410,2012-02-06 05:34:01.000000000,2012-02-06 17:34:01.000000000,8e-06,0
11410_2012_01_31_04_40_00_0,11410,2012-01-30 16:40:00.000000000,2012-01-31 04:40:00.000000000,1e-09,0
11411_2012_01_29_12_00_00_0,11411,2012-01-29 00:00:00.000000000,2012-01-29 12:00:00.000000000,1e-09,0
11411_2012_01_29_12_00_00_1,11411,2012-01-30 05:46:08.807497291,2012-01-30 17:46:08.807497291,1e-09,0
11411_2012_01_29_12_00_00_2,11411,2012-01-31 08:09:50.596878772,2012-01-31 20:09:50.596878772,1e-09,0
11411_2012_01_29_12_00_00_4,11411,2012-02-02 11:59:59.999999997,2012-02-02 23:59:59.999999997,1e-09,0
11413_2012_02_01_11_54_01_0,11413,2012-01-31 23:54:01.000000000,2012-02-01 11:54:01.000000000,5.882352941176471e-07,0
11413_2012_02_01_18_15_01_0,11413,2012-02-01 06:15:01.000000000,2012-02-01 18:15:01.000000000,1.0470588235294118e-06,0
11413_2012_02_01_18_15_01_1,11413,2012-02-02 06:15:00.000000000,2012-02-02 18:15:00.000000000,1.0470588235294118e-06,0
11413_2012_02_03_18_15_00_0,11413,2012-02-03 06:15:00.000000000,2012-02-03 18:15:00.000000000,1e-09,0
11413_2012_02_03_18_15_00_1,11413,2012-02-03 18:19:07.248975468,2012-02-04 06:19:07.248975468,1e-09,0
11413_2012_02_03_18_15_00_2,11413,2012-02-04 10:25:06.500040084,2012-02-04 22:25:06.500040084,1e-09,0
11413_2012_02_03_18_15_00_3,11413,2012-02-05 01:34:35.068677908,2012-02-05 13:34:35.068677908,1e-09,0
11413_2012_02_03_18_15_00_4,11413,2012-02-05 16:45:35.111494889,2012-02-06 04:45:35.111494889,1e-09,0
11413_2012_02_03_18_15_00_5,11413,2012-02-06 05:23:02.264041770,2012-02-06 17:23:02.264041770,1e-09,0
11413_2012_02_03_18_15_00_6,11413,2012-02-06 21:59:44.405335043,2012-02-07 09:59:44.405335043,1e-09,0
11413_2012_01_30_12_00_00_0,11413,2012-01-30 00:00:00.000000000,2012-01-30 12:00:00.000000000,5.764705882352938e-07,0
11412_2012_01_30_12_00_00_0,11412,2012-01-30 00:00:00.000000000,2012-01-30 12:00:00.000000000,1e-09,0
11412_2012_01_30_12_00_00_1,11412,2012-01-30 12:00:00.000000000,2012-01-31 00:00:00.000000000,1e-09,0
11414_2012_02_05_12_00_00_0,11414,2012-02-05 00:00:00.000000000,2012-02-05 12:00:00.000000000,1e-09,0
11415_2012_02_09_15_36_01_0,11415,2012-02-09 03:36:01.000000000,2012-02-09 15:36:01.000000000,1.2941176470588237e-06,0
11415_2012_02_09_12_12_01_0,11415,2012-02-09 00:12:01.000000000,2012-02-09 12:12:01.000000000,1.1764705882352942e-06,0
11415_2012_02_09_12_00_00_0,11415,2012-02-09 00:00:00.000000000,2012-02-09 12:00:00.000000000,8.823529411764706e-07,0
11416_2012_02_13_10_23_01_0,11416,2012-02-12 22:23:01.000000000,2012-02-13 10:23:01.000000000,3.294117647058824e-07,0
11416_2012_02_13_10_23_01_1,11416,2012-02-13 19:40:00.000000000,2012-02-14 07:40:00.000000000,3.294117647058824e-07,0
11416_2012_02_16_07_45_00_0,11416,2012-02-15 19:45:00.000000000,2012-02-16 07:45:00.000000000,1e-09,0
11416_2012_02_16_07_45_00_1,11416,2012-02-17 12:00:00.000000000,2012-02-18 00:00:00.000000000,1e-09,0
11416_2012_02_14_07_45_01_0,11416,2012-02-13 19:45:01.000000000,2012-02-14 07:45:01.000000000,4.705882352941176e-07,0
11416_2012_02_14_07_45_01_1,11416,2012-02-14 19:45:00.000000000,2012-02-15 07:45:00.000000000,4.705882352941176e-07,0
11417_2012_02_12_11_08_00_0,11417,2012-02-11 23:08:00.000000000,2012-02-12 11:08:00.000000000,1e-09,0
11420_2012_02_13_12_00_00_0,11420,2012-02-13 00:00:00.000000000,2012-02-13 12:00:00.000000000,1e-09,0
11420_2012_02_13_12_00_00_1,11420,2012-02-15 08:35:46.110507059,2012-02-15 20:35:46.110507059,1e-09,0
11420_2012_02_13_12_00_00_2,11420,2012-02-17 03:52:10.565211007,2012-02-17 15:52:10.565211007,1e-09,0
11420_2012_02_13_12_00_00_3,11420,2012-02-20 14:28:11.564327353,2012-02-21 02:28:11.564327353,1e-09,0
11420_2012_02_13_12_00_00_5,11420,2012-02-24 11:59:59.999999997,2012-02-24 23:59:59.999999997,1e-09,0
11418_2012_02_13_21_55_00_0,11418,2012-02-13 09:55:00.000000000,2012-02-13 21:55:00.000000000,1e-09,0
11418_2012_02_13_21_55_00_1,11418,2012-02-14 00:08:40.820344266,2012-02-14 12:08:40.820344266,1e-09,0
11418_2012_02_13_21_55_00_3,11418,2012-02-15 08:56:37.558677452,2012-02-15 20:56:37.558677452,1e-09,0
11418_2012_02_13_21_55_00_4,11418,2012-02-16 05:36:10.045918300,2012-02-16 17:36:10.045918300,1e-09,0
11418_2012_02_13_21_55_00_5,11418,2012-02-17 00:06:49.006801073,2012-02-17 12:06:49.006801073,1e-09,0
11418_2012_02_13_21_55_00_6,11418,2012-02-17 14:04:22.752406839,2012-02-18 02:04:22.752406839,1e-09,0
11418_2012_02_13_21_55_00_7,11418,2012-02-18 03:36:47.689913589,2012-02-18 15:36:47.689913589,1e-09,0
11418_2012_02_13_21_55_00_8,11418,2012-02-18 23:38:38.035254067,2012-02-19 11:38:38.035254067,1e-09,0
11418_2012_02_13_21_55_00_9,11418,2012-02-19 11:59:59.999999995,2012-02-19 23:59:59.999999995,1e-09,0
11419_2012_02_13_12_00_00_0,11419,2012-02-13 00:00:00.000000000,2012-02-13 12:00:00.000000000,3.882352941176471e-07,0
11419_2012_02_15_11_43_00_0,11419,2012-02-14 23:43:00.000000000,2012-02-15 11:43:00.000000000,1e-09,0
11419_2012_02_15_11_43_00_1,11419,2012-02-21 12:00:00.000000000,2012-02-22 00:00:00.000000000,1e-09,0
11421_2012_02_19_12_00_00_0,11421,2012-02-19 00:00:00.000000000,2012-02-19 12:00:00.000000000,4.823529411764705e-06,0
11421_2012_02_21_05_09_00_0,11421,2012-02-20 17:09:00.000000000,2012-02-21 05:09:00.000000000,1e-09,0
11422_2012_02_20_12_00_00_0,11422,2012-02-20 00:00:00.000000000,2012-02-20 12:00:00.000000000,1.0941176470588237e-06,0
11422_2012_02_20_12_00_00_1,11422,2012-02-20 23:48:00.000000000,2012-02-21 11:48:00.000000000,1.1764705882352942e-06,0
11422_2012_02_21_11_55_00_0,11422,2012-02-20 23:55:00.000000000,2012-02-21 11:55:00.000000000,5.882352941176471e-07,0
11422_2012_02_25_22_12_28_0,11422,2012-02-25 10:12:28.000000000,2012-02-25 22:12:28.000000000,4.941176470588235e-07,0
11422_2012_02_22_20_41_00_0,11422,2012-02-22 08:41:00.000000000,2012-02-22 20:41:00.000000000,1e-09,0
11422_2012_02_22_20_41_00_1,11422,2012-02-23 10:11:01.000000000,2012-02-23 22:11:01.000000000,1e-09,0
11422_2012_02_24_22_11_01_0,11422,2012-02-24 10:11:01.000000000,2012-02-24 22:11:01.000000000,5.647058823529412e-07,0
11422_2012_02_24_22_11_01_1,11422,2012-02-25 10:11:00.000000000,2012-02-25 22:11:00.000000000,5.647058823529412e-07,0
11422_2012_02_25_23_33_01_0,11422,2012-02-25 11:33:01.000000000,2012-02-25 23:33:01.000000000,8.235294117647059e-07,0
11422_2012_02_25_23_33_01_1,11422,2012-02-26 11:33:00.000000000,2012-02-26 23:33:00.000000000,8.235294117647059e-07,0
11423_2012_02_25_09_55_01_0,11423,2012-02-24 21:55:01.000000000,2012-02-25 09:55:01.000000000,6.117647058823529e-07,0
11423_2012_02_25_04_10_01_0,11423,2012-02-24 16:10:01.000000000,2012-02-25 04:10:01.000000000,4.11764705882353e-07,0
11423_2012_02_25_04_10_01_1,11423,2012-02-25 16:10:00.000000000,2012-02-26 04:10:00.000000000,4.11764705882353e-07,0
11423_2012_02_27_09_55_00_0,11423,2012-02-26 21:55:00.000000000,2012-02-27 09:55:00.000000000,1e-09,0
11423_2012_02_28_14_28_01_0,11423,2012-02-28 02:28:01.000000000,2012-02-28 14:28:01.000000000,2.823529411764706e-07,0
